	np_adv	np_simple	uni_adv	uni_simple
F1	0.82198807505	0.804373116734	0.824730654244	0.820395045793
FDR__alpha	0.33	0.33	0.05	0.33
eclf__svc__C	11.0	3.798	11.0	11.0
